Comparison ^nn++++=Comparison
. ^zz++++=EXTRAWORD
A ^at++++=A
rating ^nn++++=rating
of ^in++++=of
three ^cd++++=three
is ^vbz+bez+vrb++=is
indicative ^jj+pred+++=indicative
of ^in++++=of
an ^at++++=an
indisputably ^jj+atrb+++=indisputably
clear ^jj+atrb+++=clear
hypothesis ^nn++++=hypothesis
stated ^vbd+vpub++xvbn+=stated
in ^in++++=in
the ^ati++++=the
article ^nn++++=article
abstract ^nn++++=abstract
or ^cc++++=or
introduction ^nn+nom+++=introduction.
. ^zz++++=EXTRAWORD
A ^at++++=A
two ^cd++++=two
signifies ^vbz++++=signifies
that ^tht+vcmp+++=that
some ^dti++++=some
background ^nn++++=background
theory ^nn++++=theory
and ^cc++++=and
research ^nn++++=research
questions ^nns+nom+++=questions
were ^vbd+bed+aux++=were
addressed ^vpsv++agls+xvbnx+=addressed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
specific ^jj+atrb+++=specific
hypotheses ^nns+nom+++=hypotheses
were ^vbd+bed+aux++=were
provided ^vpsv++agls+xvbnx+=provided.
. ^zz++++=EXTRAWORD
A ^at++++=A
rating ^nn++++=rating
of ^in++++=of
one ^cd1++++=one
designates ^nns+nom+++=designates
those ^dt+dem+++=those
articles ^nns++++=articles
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
any ^dti++++=any
indication ^nn+nom+++=indication
of ^in++++=of
a ^at++++=a
hypothesis ^nn++++=hypothesis
being ^xvbg+++xvbg+=being
tested ^vbd+++xvbn+=tested.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
Table ^nn++++=Table
1 ^zz++++=1
shows ^nns++++=shows
the ^ati++++=the
ratings ^nns++++=ratings
I ^pp1a+pp1+++=I
assigned ^vbd+++xvbnx+=assigned
to ^in++++=to
each ^dt++++=each
article ^nn++++=article
as ^in++++=as
a ^at++++=a
quantification ^nn+nom+++=quantification
of ^in++++=of
the ^ati++++=the
clarity ^nn+nom+++=clarity
of ^in++++=of
the ^ati++++=the
hypothesis ^nn++++=hypothesis
being ^xvbg+++xvbg+=being
tested ^vwbn+++xvbn+=tested
in ^in++++=in
the ^ati++++=the
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
Articles ^nns++++=Articles
are ^vb+ber+aux++=are
numbered ^vpsv++agls+xvbnx+=numbered
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
order ^vb++++=order
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
cited ^vbd+++xvbn+=cited
section ^nn+nom+++=section
at ^in++++=at
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
All ^abn++++=All
five ^cd++++=five
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
journal ^nn++++=journal
Ecology ^np+++??+=Ecology
received ^vbd+++xvbn+=received
the ^ati++++=the
highest ^jjt+atrb+++=highest
rating ^nn++++=rating,
, ^zz++++=EXTRAWORD
indicative ^jj++++=indicative
of ^in++++=of
clear ^jj+atrb+++=clear
hypotheses ^nns+nom+++=hypotheses
unambiguously ^rb++++=unambiguously
stated ^vbd+vpub++xvbn+=stated
in ^in++++=in
the ^ati++++=the
article ^nn++++=article's
's ^$++++=EXTRAWORD
introduction ^nn+nom+++=introduction.
. ^zz++++=EXTRAWORD
Hypothesis ^nn++++=Hypothesis
testing ^vwbg+++xvbg+=testing
in ^in++++=in
Plant ^nn++++=Plant
Ecology ^np+++??+=Ecology
varied ^vbd+++xvbn+=varied
from ^in++++=from
1 ^zz++++=1-3.
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Discussion ^nn++++=Discussion
The ^ati++++=The
data ^nns++++=data
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
support ^vbi++++=support
the ^ati++++=the
hypothesis ^nn++++=hypothesis
and ^cc++++=and
prediction ^nn+nom+++=prediction,
, ^zz++++=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
articles ^nns++++=articles
from ^in++++=from
the ^ati++++=the
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journal ^nn++++=journal
had ^vb+hv+aux++=had
clearly ^rb++splt++=clearly
stated ^vprf++tht0+xvbnx+=stated
hypotheses ^nns+nom+++=hypotheses
compared ^vbd+++xvbn+=compared
with ^in++++=with
only ^rb+down+++=only
two ^cd++++=two
from ^in++++=from
the ^ati++++=the
lower ^jjr++++=lower-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
Admittedly ^rb+cnj+++=Admittedly,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
conclusive ^nn++++=conclusive
finding ^vwbg+++xvbg+=finding
as ^ql++++=as
the ^ati++++=the
sample ^nn++++=sample
size ^nn++++=size
used ^vwbn+++xvbn+=used
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
small ^jj+pred+++=small
and ^cc++++=and
the ^ati++++=the
ranking ^jj+atrb++xvbg+=ranking
system ^nn++++=system
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
completely ^rb+amp+++=completely
objective ^jj++++=objective
or ^cc+phrs+++=or
scientific ^jj++++=scientific.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
articles ^nns++++=articles
given ^vwbn+++xvbn+=given
a ^at++++=a
rating ^nn++++=rating
of ^in++++=of
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
hypotheses ^nns+nom+++=hypotheses
were ^vbd+bed+aux++=were
explicitly ^rb++splt++=explicitly
stated ^vpsv++agls+xvbnx+=stated,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
hypothesized ^vbd+++xvbn+=hypothesized
that ^tht+vcmp+++=that'
' ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
typical ^jj++++=typical
' ^zz++++='ifthen'
ifthen ^vb+++xvbn+=EXTRAWORD
' ^zz++++=EXTRAWORD
format ^nn++++=format.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
these ^dt+dem+++=these
articles ^nns++++=articles
addressed ^vbd+++xvbn+=addressed
their ^pp$+pp3+++=their
hypothesis ^nn++++=hypothesis
in ^in++++=in
the ^ati++++=the
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
stating ^vbg+vpub++xvbg+=stating
whether ^cs+who+++=whether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
supported ^vpsv++agls+xvbnx+=supported
or ^cc+phrs+++=or
contradicted ^vbd+++xvbn+=contradicted.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
cases ^nns++++=cases
where ^wrb+who+++=where
the ^ati++++=the
results ^nns++++=results
were ^vbd+bed+vrb++=were
inconsistent ^jj+pred+++=inconsistent
with ^in++++=with
the ^ati++++=the
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
alternatives ^nns++++=alternatives
hypotheses ^nns+nom+++=hypotheses
were ^vbd+bed+aux++=were
proposed ^vpsv++agls+xvbnx+=proposed
along ^in++++=along
with ^in"++++=with
ideas ^nns++++=ideas
for ^in++++=for
future ^jjb+atrb+++=future
investigation ^nn+nom+++=investigation
into ^in++++=into
the ^ati++++=the
a ^at++++=a
posteriori ^rb"++++=posteriori
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
article ^nn++++=article
that ^tht+rel+subj++=that
received ^vprf+++xvbn+=received
a ^at++++=a
two ^cd++++=two
( ^zz++++=(article
article ^nn++++=EXTRAWORD
7 ^zz++++=7)
) ^zz++++=EXTRAWORD
listed ^vwbn+++xvbn+=listed
a ^at++++=a
series ^nn++++=series
of ^in++++=of
questions ^nns+nom+++=questions
the ^ati++++=the
study ^nn++++=study
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
address ^nns+nom+++=address
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suggest ^vb+vpub+++=suggest
an ^at++++=an
answer ^nn++++=answer
to ^in++++=to
any ^dti++++=any
of ^in++++=of
these ^dt+dem+++=these
questions ^nns+nom+++=questions
a ^at++++=a
priori ^nn++++=priori.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
discussion ^nn++++=discussion
at ^in++++=at
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
addressed ^vbd+++xvbn+=addressed
each ^dt++++=each
question ^nn+nom+++=question
individually ^rb++++=individually
and ^cc++++=and
proposed ^jj+++xvbn+=proposed
several ^ap++++=several
a ^at++++=a
posteriori ^rb"++++=posteriori
hypotheses ^nns+nom+++=hypotheses
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
they ^pp3a+pp3+++=they
collected ^vbd+++xvbnx+=collected.
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
illustrated ^jj+++xvbn+=illustrated
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
problems ^nns++++=problems
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
style ^nn++++=style
of ^in++++=of
experimentation ^nn+nom+++=experimentation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
acknowledged ^vbd+vpub++xvbn+=acknowledged
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
provide ^vbi+vsua+++=provide
an ^at++++=an
answer ^nn++++=answer
to ^in++++=to
their ^pp$+pp3+++=their
first ^od++++=first
question ^nn+nom+++=question
because ^cs+cos+++=because
their ^pp$+pp3+++=their
experimental ^jj+atrb+++=experimental
design ^nn++++=design
was ^vbd+bedz+vrb++=was
unsuitable ^jj+pred+++=unsuitable
for ^in++++=for
doing ^xvbg+++xvbg+=doing
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
few ^ap++++=few
concrete ^jj+atrb+++=concrete
answers ^nns+nom+++=answers
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
for ^in++++=for
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
questions ^nns+nom+++=questions
as ^in++++=as
the ^ati++++=the
authors ^nns++++=authors
were ^vbd+bed+vrb++=were
primarily ^rb+down+++=primarily
only ^rb+down+++=only
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
provide ^vb+vsua+tht0++=provide
speculation ^nn+nom+++=speculation
based ^vwbn+++xvbn+=based
on ^in++++=on
data ^nns++++=data
and ^cc++++=and
observations ^nns+nom+++=observations.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
they ^pp3a+pp3+++=they
designed ^vbd+++xvbnx+=designed
experiments ^nns+nom+++=experiments
to ^in++++=to
test ^nn++++=test
specific ^jj++++=specific
a ^at++++=a
priori ^jj+atrb+++=priori
hypotheses ^nns+nom+++=hypotheses,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
make ^vb++++=make
more ^rbr++++=more
definitive ^jj+atrb+++=definitive
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
articles ^nns++++=articles
that ^tht+rel+subj++=that
received ^vprf+++xvbn+=received
a ^at++++=a
rating ^nn++++=rating
of ^in++++=of
one ^cd1++++=one
broadly ^rb+down+++=broadly
defined ^vbd+vprv++xvbn+=defined
the ^ati++++=the
aims ^nns++++=aims
of ^in++++=of
their ^pp$+pp3+++=their
experiment ^nn+nom+++=experiment
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
narrow ^vb++++=narrow
the ^ati++++=the
scope ^nn++++=scope
enough ^dt++++=enough
by ^in++++=by
providing ^xvbg+++xvbg+=providing
a ^at++++=a
specific ^jj+atrb+++=specific
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
introductions ^nns+nom+++=introductions
of ^in++++=of
article ^nn++++=article
10 ^cd++++=10
and ^cc++++=and
article ^nn++++=article
8 ^zz++++=8
explained ^vbd+vpub++xvbn+=explained
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
hoped ^vbd+vprv++xvbnx+=hoped
to ^to+vcmp+++=to
determine ^vbi++++=determine
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
experiment ^nn+nom+++=experiment
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
provide ^vb+vsua+++=provide
any ^dti++++=any
predictions ^nns+nom+++=predictions
or ^cc++++=or
indicate ^nn+nom+++=indicate
any ^dti++++=any
expected ^jj+atrb++xvbn+=expected
results ^nns++++=results.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
papers ^nns++++=papers
were ^vbd+bed+vrb++=were
more ^rbr++++=more
exploratory ^jj+pred+++=exploratory
in ^in++++=in
nature ^nn++++=nature
but ^cc++++=but
both ^abx++++=both
achieved ^jj+atrb++xvbn+=achieved
results ^nns++++=results
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
satisfy ^vbi++++=satisfy
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
their ^pp$+pp3+++=their
study ^nn++++=study.
. ^zz++++=EXTRAWORD
All ^abn++++=All
papers ^nns++++=papers
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
logical ^jj+pred+++=logical
and ^cc++++=and
well ^rb++++=well-organized,
- ^zz++++=EXTRAWORD
organized ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
all ^abn++++=all
scientific ^jj+atrb+++=scientific
papers ^nns++++=papers
follow ^vb+vprv+++=follow
a ^at++++=a
similar ^jj+atrb+++=similar
format ^nn++++=format:
: ^zz++++=EXTRAWORD
abstract ^jj++++=abstract
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
introduction ^nn+nom+++=introduction,
, ^zz++++=EXTRAWORD
materials ^nns+nom+++=materials
and ^cc++++=and
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
essentially ^rb+down+++=essentially
forces ^nns++++=forces
the ^ati++++=the
author(s ^nns+++??+=author(s)
) ^zz++++=EXTRAWORD
to ^in++++=to
structure ^nn++++=structure
the ^ati++++=the
paper ^nn++++=paper
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
logical ^jj+pred+++=logical
for ^in++++=for
the ^ati++++=the
reader ^nn++++=reader.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
presentation ^nn+nom+++=presentation
of ^in++++=of
papers ^nns++++=papers
might ^md+pos+++=might
be ^vb+be+aux++=be
improved ^vpsv++agls+xvbnx+=improved
is ^vbz+bez+vrb++=is
by ^in++++=by
making ^xvbg+++xvbg+=making
a ^at++++=a
more ^rbr++++=more
explicit ^jj+atrb+++=explicit
connection ^nn+nom+++=connection
between ^in++++=between
a ^at++++=a
hypothesis ^nn++++=hypothesis
and ^cc++++=and
the ^ati++++=the
experiment ^nn++++=experiment
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
test ^vb++++=test
that ^tht+rel+obj++=that
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
papers ^nns++++=papers
